Species.name.standardized.TPL.2016,Leaf.Area..mm2.,Nmass..mg.g.,LMA..g.m2.,Plant.Height..m.,Seed.Mass..mg.,SSD.combined..mg.mm3.
Linum suffruticosum,6.87,19.559,95.18,0.229,0.5896,0.268
Linum tenuifolium,26.35,28.249,70.508,0.292,1.3518,0.259
Linum usitatissimum,40.82,46.33,26.841,0.446,5.0524,0.195
Liquidambar formosana,3019,20.813,53.191,23.809,4.2,0.484
Liquidambar styraciflua,6262.91,15.321,68.521,13.847,5.1485,0.53
Liriodendron tulipifera,11022.1,22.76,64.481,49.782,34.8055,0.359
Lithocarpus glaber,3000,17.14,86.207,15,1162,0.547
Lithocarpus hancei,3844.4,18.55,76.7,10,665,0.701
Lithospermum multiflorum,190,20.23,76.923,0.33,5.19,0.295
Lithraea molleoides,1227.64,16.712,167.755,7.75,98.6,0.637
Litsea accedens,9776.06,12.84,55.127,10,290,0.299
Litsea cubeba,700,36.32,35.463,7.071,49.84,0.31
Littorella uniflora,94.05,30.05,67.614,0.089,0.815,0.147
Lobelia dortmanna,160.25,25,51.626,0.144,0.0431,0.138
Lolium multiflorum,606,22.199,39.965,0.409,2.6332,0.217
Lolium perenne,468.92,27.045,39.518,0.271,1.8626,0.188
Lolium rigidum,4612.54,19.631,47.641,0.339,2.3252,0.335
Lomelosia caucasica,900.16,21.81,82.034,0.76,5.0004,0.195
Lonchocarpus heptaphyllus,4985.24,27.24,68.057,31.275,66.5588,0.679
Lonchocarpus rugosus,675,24.241,108.042,4,52.47,0.645
Lonicera caprifolium,1630.11,14.8,53.291,4.459,8.04,0.224
Lonicera etrusca,514.17,18.21,66.588,0.937,6.85,0.24
Lonicera hispidula,903.2,12,81.084,3,7.147,0.57
Lonicera implexa,824.5,25.327,105.714,2.5,10.6629,0.283
Lonicera periclymenum,834.36,23.79,66.492,3.891,5.9154,0.245
Loropetalum chinense,700,12.403,61.156,4.472,19.19,0.81
Lotus corniculatus,128.72,33.123,44.055,0.242,1.3207,0.279
Lotus pedunculatus,317,31.009,35.988,0.382,0.5299,0.152
Luehea seemannii,6612.46,20.256,73.599,32.863,1.8734,0.49
Luma apiculata,75,11.198,150.893,18.632,17.9416,0.91
Lunania mexicana,3662.47,14.993,55.249,20,0.1,0.58
Lunania parviflora,6136.09,25.36,68.399,16.202,1.09,0.575
Lupinus kingii,41.25,30.68,53.191,0.06,7.43,0.281
Lupinus perennis,230.63,26.498,55.014,0.3,22.0805,0.145
Lupinus polyphyllus,1460.17,32.935,41.667,1.159,22.4556,0.165
Luzula alpinopilosa,384.35,29.8,58.996,0.182,0.2249,0.162
Luzula campestris,210.69,26.628,40.898,0.134,0.6205,0.206
Luzula forsteri,338.56,20.322,46.42,0.176,1.1846,0.237
Luzula multiflora,203.67,24.342,41.711,0.188,0.5886,0.235
Luzula nivea,588.87,24.856,40.205,0.616,0.48,0.232
Luzula pilosa,669.48,18.949,38.413,0.266,1.0339,0.203
Luzula rufa,137.08,12.454,55.372,0.091,0.33,0.296
Luzula spicata,34.85,22.59,103.973,0.146,0.2907,0.268
Luzula sudetica,243.2,32.109,31.394,0.165,0.2998,0.168
Lycium andersonii,17.86,26.671,106.698,0.55,2.11,0.707
Lycopus europaeus,524.64,21.654,35.408,0.625,0.2649,0.194
Lysimachia europaea,176.49,20.371,26.358,0.097,0.6194,0.226
Lysimachia maritima,39.57,21.208,58.283,0.117,0.3888,0.182
Lysimachia nummularia,267.82,17.1,35.477,0.304,0.2031,0.21
Lysimachia vulgaris,1922.41,24.165,45.214,0.711,0.2844,0.224
Lythrum salicaria,595.68,21.257,53.28,0.713,0.062,0.281
Maackia amurensis,6569.69,37.233,76.046,12.432,32.444,0.89
Macaranga gigantea,27153.55,19.391,76.623,12.067,13,0.295
Macaranga hypoleuca,11303.52,13.7,65.246,18.154,28.6392,0.263
Macaranga tanarius,50980.54,26.213,70.013,10.874,29.081,0.454
Macaranga triloba,13747.57,32.71,42.325,21.005,15,0.319
Machaeranthera canescens,97,28.78,92.593,0.37,0.4991,0.232
Machaeranthera gracilis,21,18.56,62.112,0.21,0.2728,0.216
Machilus chinensis,700,9.25,71.692,15.18,337,0.47
Macrocnemum roseum,7715.9,22.63,54.305,27.851,0.0112,0.489
Macrolobium angustifolium,7295.47,23.783,62.539,30,2200,0.646
Macrolobium gracile,43.84,25.605,57.545,25,410,0.63
Magnolia grandiflora,9770.16,13.4,111.032,15.369,64.1135,0.44
Maianthemum bifolium,1218.27,31.803,30.567,0.133,13.0698,0.213
Maianthemum canadense,1246.23,19.35,35.237,0.096,9.1628,0.222
Mallotus pallidus,9050,23,57.208,12.429,25.6642,0.685
Mallotus paniculatus,25871.64,25.9,66.861,9.984,10.0367,0.348
Mallotus philippensis,3000,20.341,57.488,5,26.9,0.602
Malus sylvestris,816.06,22.496,80.991,7.093,23.492,0.644
Malva sylvestris,7727.5,28.9,44.229,0.684,3.6411,0.185
Mangifera indica,7854,13.514,131.299,18.113,14368.217,0.554
Manilkara bidentata,4571.9,14.377,152.655,37.225,1063.4965,0.854
Maprounea guianensis,822.6,26.656,75.517,20,11,0.58
Maquira guianensis,6629.61,19.832,63.749,21.221,218.95,0.719
Margaritaria nobilis,4137.99,24.708,61.134,18.473,10.0077,0.582
Marila laxiflora,11781.28,18.599,70.745,11.265,20.18,0.663
Matthiola incana,590,30.83,44.405,0.363,1.6516,0.154
Maytenus boaria,675,14.248,113.618,21.544,16.4724,0.619
Medicago lupulina,247.91,33.143,34.575,0.238,1.4429,0.22
Medicago minima,27.07,41.986,38.553,0.131,0.9719,0.2
Medicago sativa,103.57,39.665,50.862,0.659,2.2701,0.218
Meiogyne cylindrocarpa,3380.3,17.39,45.413,10,720,0.58
Melaleuca leucadendra,1272.79,10.655,157.049,17,0.41,0.684
Melaleuca uncinata,24.22,12.969,323.55,2.802,0.4532,0.912
Melaleuca viridiflora,1550.35,7.252,229.966,13.216,0.3808,0.83
Melampyrum arvense,450,37.989,34.06,0.322,13.3378,0.19
Melampyrum cristatum,378.5,27.545,38.329,0.251,5.1295,0.19
Melampyrum pratense,240,24.822,38.834,0.223,5.637,0.195
Melampyrum sylvaticum,248.29,25.105,32.677,0.214,6.2883,0.38
Melastoma malabathricum,1979.87,12.349,57.76,3.431,0.0575,0.44
Melia azedarach,981.75,37.82,207.771,12.198,1067.2264,0.44
Melica ciliata,218.74,25.988,53.897,0.383,0.662,0.384
Melica nutans,394.56,25.558,38.22,0.474,2.1767,0.387
Melica uniflora,453.73,19.566,28.56,0.362,2.7899,0.243
Melicytus ramiflorus,3481.09,25.592,48.007,4.046,1.0747,0.461
Melilotus officinalis,156.23,34.8,58.254,0.725,2.6261,0.209
Melilotus officinalis subsp. alba,219.11,41.798,44.066,0.339,2.1946,0.195
Melittis melissophyllum,2586.7,28.464,18.695,0.31,5.39,0.169
Mentha aquatica,463.44,15.478,41.938,0.269,0.1237,0.164
Mentha arvensis,566.07,15.13,25.748,0.294,0.1483,0.186
Mentha longifolia,1607.7,26.557,37.27,0.581,0.0485,0.24
Menyanthes trifoliata,3756.23,24.958,43.502,0.206,2.7286,0.188
Mercurialis annua,759.85,41.442,20.644,0.28,2.0913,0.18
Mercurialis perennis,1889.74,32.305,38.256,0.273,4.2347,0.21
Metrosideros polymorpha,450.5,8.067,217.565,18.327,0.09,0.7
Miconia affinis,9914.14,28.64,51.155,8.566,0.242,0.596
Miconia argentea,17548.83,18.512,83.45,23.938,0.0811,0.624
Miconia prasina,11605.32,18.177,86.956,9.674,1.3,0.637
Micropholis venulosa,1036.7,18.093,95.489,38.879,392.1799,0.647
Milium effusum,1621.09,23.087,29.204,0.843,0.813,0.213
Mimozyganthus carinatus,1.22,19.593,98.176,2.3,41.2,1.026
Mimulus aurantiacus,291.91,12.368,120.4,1.934,0.0396,0.657
Minuartia verna,4.86,18.1,48.528,0.083,0.0749,0.22
Mirabilis decipiens,400,42.47,57.143,0.4,4.52,0.18
Miyamayomena simplex,1717.38,21.037,51.062,1.125,0.22,0.242
Moehringia trinervia,77.37,26.61,28.109,0.154,0.1548,0.188
Molinia caerulea,675.51,17.019,59.756,0.938,1.8043,0.268
Mollinedia viridiflora,5013.86,23.76,45.769,10,220,0.55
Monarda fistulosa,847.75,13.252,50.393,0.926,0.35,0.225
Monarda punctata,491.08,13.2,53.798,0.454,0.2678,0.208
Moneses uniflora,358.33,20.4,53.769,0.053,0.002,0.237
Mortoniodendron guatemalense,1669.14,15.127,99.503,35,35,0.51
Morus alba,10766.81,24.733,62.941,6.526,4.5635,0.577
Mosannona garwoodii,2800.7,23.24,67.703,14.459,258.98,0.73
Mouriri myrtilloides,1331.79,17.56,74.414,3,68.4768,0.79
Muhlenbergia minutissima,31,20.75,42.194,0.06,0.09,0.207
Muhlenbergia montana,160,11.8,129.87,0.414,0.2638,0.447
Muhlenbergia peruviana,4.36,17.608,70.76,0.033,0.1488,0.367
Muhlenbergia ramulosa,3,15.39,133.333,0.07,0.09,0.287
Muhlenbergia rigens,270,14.19,126.582,0.702,0.2126,0.385
Muhlenbergia schreberi,128.68,15.62,29.67,0.97,0.6,0.308
Muhlenbergia wrightii,170,16.97,64.935,0.452,0.2324,0.358
Munroa squarrosa,28,17.92,50.505,0.04,0.44,0.305
Murraya paniculata,675,34.9,120.773,6.928,83.33,0.87
Musanga cecropioides,9050,24,76.336,4.225,1.3608,0.229
Myosotis alpestris,209.92,22,58.038,0.082,0.6919,0.19
Myosotis arvensis,722.39,13.37,32.614,0.214,0.3791,0.093
Myosotis ramosissima,153.48,14.488,37.259,0.098,0.2131,0.185
Myosotis scorpioides,692.33,21.8,25.152,0.299,0.3888,0.168
Myosotis sylvatica,373.01,29.55,35.361,0.201,0.5879,0.17
Myrcia gatunensis,2861.09,15.953,67.25,15.296,74.66,0.655
Myrcia splendens,4558.33,15.711,82.493,18.667,117.37,0.83
Myrciaria floribunda,3564.25,18.167,60.693,15,273.39,0.751
Myrica faya,779.83,18.549,83.346,7.024,9,0.66
Myriophyllum spicatum,79.95,32.895,16.755,0.438,0.6036,0.053
Myriophyllum verticillatum,96.59,27.17,10.43,0.332,1.5,0.163
Myroxylon balsamum,2097.79,31.391,59.052,40,582.8337,0.788
Myrrhis odorata,158.36,51.5,26.372,0.868,38.3753,0.216
Myrtus communis,152.48,11.937,126.195,1.831,10.118,0.602
Najas marina,67.79,23.68,26.245,0.5,3.28,0.051
Nama dichotoma,26,43.88,32.258,0.09,0.05,0.164
Narcissus poeticus,4582,21.1,53.087,0.358,6.3,0.156
Narcissus pseudonarcissus,1731.32,34.699,51.825,0.282,5.32,0.118
Nardus stricta,82.82,15.782,90.472,0.196,0.3056,0.299
Narthecium ossifragum,1087,24.146,40.108,0.177,0.0805,0.136
Nasturtium officinale,732.08,67.17,16.803,0.559,0.2535,0.135
Nectandra ambigens,3326.8,16.85,136.986,40,1800,0.57
Nectandra purpurea,5466.36,13.487,112.528,14.163,236.79,0.465
Neea floribunda,9428.65,32.436,89.346,10,73.38,0.696
Nelumbo nucifera,301844.92,32.134,59.325,1.5,869.36,0.114
Nerium oleander,1981.39,12.915,198.182,3.262,3.4907,0.6
Nothofagus antarctica,117.17,24.16,92.166,7.921,1.241,0.585
Nothofagus betuloides,116.19,12.327,158.829,25,96,0.51
Nothofagus dombeyi,235.62,13.245,129.164,42.916,12.9645,0.617
Nothofagus fusca,552.43,15,68.762,24.389,7.0609,0.509
Nothofagus menziesii,96.48,14.051,135.974,18.304,3.5573,0.528
Nothofagus pumilio,111.59,19.786,54.555,15.628,27.763,0.523
Nothofagus solandri,82.96,11,136.169,9.963,3.7353,0.498
Nothoscordum gracile,2696.3,40.981,46.488,0.112,4.7,0.12
Notoceras bicorne,23.08,34.519,87.334,0.021,0.34,0.216
Nuphar lutea,24904.2,35.858,78.213,0.45,48.0206,0.191
Nuytsia floribunda,675,7.089,460.829,12,83.4767,0.632
Nymphaea alba,41975,23.658,89.379,0.523,1.89,0.198
Nymphoides peltata,8694.63,27.945,38.664,0.173,0.6052,0.143
Nyssa sylvatica,1361.8,18.724,54.645,25.52,153.6957,0.55
Ochanostachys amentacea,4557.25,16.747,85.697,12.988,3200,0.77
Ochroma pyramidale,46443.72,25.87,87.244,28.984,8.5526,0.153
Ocotea cernua,3510.6,36.63,71.753,17.652,47.77,0.46
Ocotea dendrodaphne,17412.88,15.604,141.144,20,310,0.529
Ocotea floribunda,8261.45,27.348,63.042,18.28,463.7116,0.394
Ocotea leucoxylon,6247.33,22.856,67.177,17.281,150.9338,0.453
Ocotea oblonga,3581.93,21.89,88.797,26.688,442,0.387
Ocotea puberula,7419.51,31.31,64.299,25,107.2453,0.44
Ocotea whitei,3439.81,17.02,96.124,41.267,5897.496,0.425
Oemleria cerasiformis,1170,19.2,58.377,1.949,181.5331,0.74
Oenocarpus mapora,10697.21,18.068,112.632,16.076,1661.3,0.728
Oenothera biennis,3048.9,19.172,58.321,0.937,0.3969,0.201
Oenothera erythrosepala,5647.21,26.321,41.585,1.045,0.5763,0.159
Oenothera pubescens,160,21.75,57.471,0.13,0.51,0.169
Olea capensis,2889.94,12.617,170.265,20,264.5345,0.767
Olea europaea,368.31,14.603,193.054,10.757,187.5273,0.798
Omphalea oleifera,40888.5,25.31,70.176,30,5150,0.44
Ononis spinosaprocurrens,64.05,39.063,41,0.354,4.7168,0.183
Ononis striata,48.25,21.975,58.903,0.026,3.7875,0.228
Oplismenus hirtellus,104.88,32.133,44.825,0.147,1.08,0.225
Opuntia sulphurea,1060.29,15.122,497.8,0.424,9.1,0.23
Orchis militaris,6088,25,46.49,0.279,0.001,0.1
Origanum vulgare,344.05,19.325,45.145,0.404,0.0955,0.216
Orlaya grandiflora,1618,11.4,54.848,0.263,34.509,0.19
Ormosia amazonica,9623.88,18.268,102.318,14.393,383.34,0.65
Ormosia coccinea,8452.99,16.991,122.666,24.515,575.4584,0.612
Ormosia macrocalyx,8507.55,24.23,65.667,23.376,317.36,0.65
Ornithogalum collinum,328,32.325,61.557,0.048,2.3091,0.129
Ornithopus compressus,4712,32.446,30.54,0.157,2.4837,0.241
Orthantha lutea,27.17,29.064,46.211,0.274,0.22,0.206
Orthilia secunda,269.01,17.333,60.51,0.11,5.00E-04,0.267
Orthion oblanceolatum,2296.9,18.914,69.614,15,60,0.69
Oryza sativa,2075.98,19.038,51.222,0.316,26.9288,0.243
Osteophloeum platyspermum,5291.64,29.61,107.535,40,1861.3909,0.471
Ostrya virginiana,2837.19,18.661,29.501,11.899,16.3844,0.63
Otoba parvifolia,4513.59,21.644,92.226,30,1399.7862,0.421
Ottleya wrightii,22.5,31.12,69.444,0.232,2.5265,0.425
Ouratea lucens,5045.07,13.902,108.055,10.61,120.11,0.805
Oxalis acetosella,145.99,26.985,16.211,0.091,1.0214,0.098
Oxalis alpina,150,37.65,23.364,0.02,0.25,0.143
Oxalis stricta,456.29,34.268,19.768,0.29,0.2053,0.177
Oxydendrum arboreum,5387,19.383,38.168,13.996,0.1662,0.59
Oxyria digyna,375.01,43.678,41.79,0.1,0.6359,0.143
Oxytropis lambertii,98.57,28.512,98.039,0.251,1.9855,0.314
Pachira aquatica,8482.32,24.58,96.805,23.452,1386.26,0.413
Pachira insignis,2790.7,21.28,103.306,31.225,10417,0.441
Pachira quinata,11597.04,20.237,48.18,26.165,39.2304,0.395
Pachira sessilis,3902.42,22.93,61.502,28.347,309.5003,0.441
Packera multilobata,300.8,20.46,78.74,0.13,0.505,0.188
Palicourea guianensis,12967.31,22.2,49.916,8.372,13.1747,0.459
Palicourea tetragona,6549.66,17.895,53.821,7,210,0.65
Panicum acuminatum,175.99,17.302,41.028,0.455,0.3265,0.398
Panicum capillare,3781.39,16.701,42.185,0.415,0.2685,0.264
Panicum dichotomiflorum,10814.57,19.32,40.287,1,0.628,0.195
Panicum linearifolium,348.04,11.93,48.679,0.222,0.38,0.265
Panicum virgatum,880.64,12.424,71.483,0.588,1.0456,0.49
Papaver rhoeas,4984.92,37.315,31.209,0.452,0.1336,0.169
Pappea capensis,2234.84,16.135,98.516,10,145.04,0.88
Pappophorum caespitosum,482.3,20.682,96.485,0.413,1.46,0.431
Parashorea malaanonan,9050,19.04,48.497,28.356,1860,0.392
Parentucellia viscosa,316,20.151,41.365,0.233,0.0108,0.415
Parietaria judaica,773.98,46.242,20.046,0.211,0.2042,0.19
Parinari campestris,1456.42,16.318,147.698,31.464,11524.5033,0.714
Parinari excelsa,1908.63,18.799,78.163,35,5335.8175,0.696
Parkia speciosa,108.77,29.897,50.298,12.961,540,0.393
Parkia velutina,12.95,24.022,49.723,17.889,1006.3441,0.394
Parkinsonia praecox,45.64,36.5,74.899,4.25,39.1587,0.58
Parnassia palustris,274.35,16.751,43.309,0.11,0.0345,0.29
Paspalum dilatatum,1321.6,16.157,40.625,0.238,1.4401,0.205
Paspalum quadrifarium,5729.57,9.976,367.571,1.044,0.2,0.28
Pastinaca sativa,13188.56,38.809,32.527,0.571,3.4013,0.161
Pedicularis comosa,799.95,24.81,64.893,0.327,1.19,0.227
Pedicularis gyroflexa,410.62,22.902,78.172,0.182,0.99,0.231
Pedicularis palustris,319.33,26.53,49.124,0.282,1.2311,0.172
Pedicularis sylvatica,12,38.59,86.287,0.116,0.8966,0.18
Peganum harmala,29.48,18.569,167.432,0.173,2.4589,0.255
Pellacalyx axillaris,6911.07,18.28,107.296,24.819,0.6,0.38
Peltogyne venosa,2293.47,13.646,116.462,36,223.5349,0.719
Pennisetum flaccidum,2578.76,15.7,54.152,1.15,1.03,0.322
Pennisetum glaucum,1509.63,12.184,37.837,1.11,3.5395,0.452
Penstemon barbatus,440,18.07,87.719,0.44,0.24,0.229
Penstemon linarioides,17,11.9,144.928,0.11,1.249,0.237
Penstemon virgatus,230,18.18,104.167,0.24,1.0377,0.226
Pentaclethra macroloba,7707.73,29.24,43.181,32,4757.0666,0.58
Pentagonia macrophylla,139627.98,18.378,93.504,8.371,5.7789,0.455
Perebea tessmannii,22532.42,20.247,101.614,20,395.32,0.398
Perebea xanthochyma,14388.13,15.21,78.165,23.401,112.27,0.603
Persea americana,8796.48,17.7,90.948,7.746,14653.9455,0.538
Persicaria amphibia,2105.85,39.181,53.073,0.361,2.617,0.213
Persicaria bistorta,3684.57,30.778,46.703,0.52,5.3784,0.181
Persicaria hydropiper,1488.53,38.474,23.115,0.639,1.7675,0.198
Persicaria lapathifolia,3782.96,35.017,45.697,0.595,1.6418,0.208
Persicaria maculosa,1429.26,11.988,45.969,0.396,2.0441,0.228
Persicaria sagittata,840.4,20.664,18.173,0.833,2.5633,0.195
Persicaria vivipara,260.08,30.949,63.624,0.126,2.1462,0.211
Petalostigma quadriloculare,675,6.88,202.429,10.198,33.2,0.9
Petrea volubilis,6518.21,19.681,62.327,4.2,33.08,0.455
Petrorhagia prolifera,58.25,21.237,56.721,0.272,0.3039,0.216
Peucedanum cervaria,28881.5,27.532,94.697,0.63,4.2757,0.243
Peucedanum oreoselinum,3998.35,14.247,62.092,0.608,3.9649,0.229
Peucedanum ostruthium,6822.57,32.874,39.975,0.525,1.2,0.216
Phalaris arundinacea,2344.28,22.154,45.912,1.342,0.669,0.129
Phaseolus vulgaris,3074.78,36.811,47.197,0.794,303.1799,0.2
Phillyrea angustifolia,187.84,12.486,209.577,2.285,9.1289,0.558
Phillyrea latifolia,197.62,15.478,153.768,7.83,14.9019,0.7
Phleum alpinum,463.49,18.988,58.715,0.178,0.3585,0.327
Phleum phleoides,359.98,14.7,54.254,0.363,0.1396,0.461
Phleum pratense,582.05,19.043,44.571,0.609,0.3971,0.28
Phlox speciosa,65,19.04,99.01,0.05,4.7859,0.337
Phragmites australis,1616.36,22.462,69.859,0.847,0.4007,0.24
Phyllocladus trichomanoides var. alpinus,246.28,8.51,205.539,1.786,12.165,0.687
Physoplexis comosa,574.01,33.618,52.618,0.091,0.0832,0.2
Phyteuma betonicifolium,1157.91,39.35,28.389,0.247,0.0384,0.158
Phyteuma hemisphaericum,46.81,27.402,61.561,0.098,0.1,0.218
Phyteuma orbiculare,316,28.52,31.379,0.323,0.1868,0.19
Phyteuma ovatum,2663.47,35.608,14.765,0.403,0.1039,0.157
Phyteuma scheuchzeri,710.97,18.918,53.148,0.211,0.04,0.198
Phyteuma spicatum,1272,29.812,20.182,0.436,0.1481,0.159
Phytolacca americana,6900.2,42.14,86.537,2.402,6.3503,0.142
Picea abies,31.72,12.358,225.178,40.688,6.4432,0.424
Picea engelmannii,29.39,9.982,311.588,35.294,3.2352,0.35
Picea glauca,23.72,10.637,239.173,25.835,2.4515,0.45
Picea jezoensis,16.12,15.546,106.007,32.404,2.7601,0.38
Picea mariana,30,8.379,296.521,19.76,1.1325,0.388
Picea rubens,16.5,11.45,289.855,29.27,3.3037,0.41
Picea sitchensis,17.99,11.175,202.548,55.113,2.3678,0.382
Picramnia latifolia,5689.93,23.416,75.281,13.973,70.5134,0.7
Picris hieracioides,1433.71,26.876,35.739,0.452,1.0665,0.157
Pilosella lactucella,273.32,17.37,36.491,0.163,0.1,0.165
Pilosella officinarum,331.39,16.845,56.682,0.111,0.1279,0.142
Pilosella piloselloides,554.3,12.758,37.448,0.249,0.72,0.201
Pilosella portae,1189.74,25.185,40.263,0.031,0.3847,0.165
Pimpinella major,8294.89,24.585,49.175,0.62,2.0395,0.195
Pimpinella saxifraga,1067.36,24.231,57.852,0.326,1.1514,0.217
Pinguicula vulgaris,177.31,17.283,24.154,0.058,0.0183,0.134
Pinus aristata,31.5,9.723,90.009,12.814,21.195,0.56
Pinus banksiana,100,12.329,243.902,22.643,3.4345,0.46
Pinus canariensis,120.99,9.73,68.823,31.749,103.479,0.61
Pinus cembra,74.17,16.9,216.554,19.73,233.2508,0.46
Pinus clausa,69.75,13.2,154.048,20.012,6.032,0.51
Pinus contorta,50,11.314,266.867,21.373,4.2359,0.43
Pinus densiflora,75,13.172,295.159,36,9.3974,0.41
Pinus edulis,125,11.317,408.163,11.909,234.1545,0.57
Pinus elliottii,241.14,9.435,285.621,13.54,33.037,0.585
Pinus flexilis,220,11.2,366.3,16.571,105.5077,0.42
Pinus halepensis,70.42,11.759,228.815,17.659,19.7719,0.604
Pinus jeffreyi,170.5,11.531,329.789,52.966,124.4945,0.383
Pinus koraiensis,89.12,13.639,91.511,31.072,480.1011,0.37
Pinus massoniana,79,10.11,143.171,30,13.55,0.478
Pinus monophylla,64,9.204,757.663,9.898,445.797,0.475
Pinus nigra,110.94,10.216,227.93,33.006,19.0121,0.611
Pinus palustris,299.25,9.323,303.188,18.77,95.2917,0.62
Pinus pinaster,253.8,10.125,411.373,21.792,54.5613,0.527
Pinus pinea,137.9,11.496,237.62,27.402,653.0717,0.582
Pinus ponderosa,160,11.17,287.385,38.301,35.7087,0.386
Pinus radiata,82.79,13.313,190.289,26.313,30.8424,0.47
Pinus resinosa,215.64,11.812,250.057,19.028,8.2253,0.417
Pinus rigida,315,13.207,204.499,17.74,7.3159,0.52
Pinus serotina,630,8.704,278.552,25.783,8.3005,0.58
Pinus strobiformis,40.39,12.881,144.309,28.46,185.7248,0.405
Pinus strobus,96.83,13.37,156.49,32.681,16.0472,0.383
Pinus sylvestris,71.55,12.868,209.676,25.868,7.4262,0.541
Pinus taeda,154.91,10.466,184.761,21.229,26.0418,0.5
Pinus uncinata,37.46,10.793,266.906,16.355,10.8114,0.513
Pinus virginiana,49.85,10.993,221.791,24.031,8.4315,0.52
Piper aequale,4850.22,25.898,47.233,4.025,0.06,0.46
Piper arboreum,8334.46,34.042,46.542,6.067,1.01,0.374
Piper colonense,6508.75,28.962,42.277,4.585,0.65,0.345
Piper cordulatum,5504.75,23.028,72.808,4.354,2.7591,0.365
Piper reticulatum,15555.39,26.732,54.902,10.394,3.7676,0.316
Piptocoma discolor,3625.16,25.249,78.601,5.678,0.4,0.47
Piscidia carthagenensis,675,29.538,87.819,3.578,64.52,0.719
Pistacia lentiscus,378.16,12.73,207.242,2.243,16.2398,0.612
Pistacia terebinthus,5020,23.761,106.21,5.848,34.8857,0.683
Pittoniotis trichantha,12359.27,19.485,78.187,15,8.145,0.605
Planchonia careya,4248.89,16.274,104.264,11.862,104.8,0.85
Plantago albicans,151,22.052,118.765,0.245,0.896,0.236
Plantago argyrea,130,17.36,80.645,0.08,1.45,0.222
Plantago atrata,934.29,18.242,83.355,0.109,2.9357,0.211
Plantago ciliata,73.74,25.932,74.102,0.016,2.13,0.217
Plantago coronopus,199.98,11.78,62.319,0.073,0.1557,0.15
Plantago lanceolata,974.36,22.454,53.748,0.179,1.3628,0.23
Plantago major,4852.23,18.803,53.228,0.167,0.2197,0.18
Plantago maritima,749.42,15.37,97.759,0.192,0.5613,0.265
Plantago media,4662.67,21.655,52.872,0.203,0.3339,0.178
Plantago ovata,24.9,28.367,110.326,0.1,1.8338,0.219
Plantago rugelii,15492.92,16.523,64.515,0.11,1.3545,0.226
Platanthera bifolia,4089.94,26.3,39.47,0.248,0.0012,0.113
Platanus occidentalis,16935,17.006,50.306,32.955,2.8528,0.427
Platycladus orientalis,3.56,15.561,219.618,13.286,18.8249,0.515
Platymiscium pinnatum,5750.16,28.65,61.128,33.24,242.5132,0.73
Platypodium elegans,431.05,45.954,46.839,38.056,672.4815,0.767
Pleuranthodendron lindenii,4466.07,14.782,85.856,22.361,46,0.68
Poa alpina,96.98,16.355,65.304,0.158,0.3496,0.261
Poa angustifolia,429.26,14,50.564,0.539,0.1602,0.319
Poa annua,123.1,35.481,26.096,0.092,0.2376,0.159
Poa bulbosa,59.6,17.534,33.585,0.167,0.4852,0.231
Poa colensoi,46.75,9.51,78.262,0.141,0.19,0.37
Poa compressa,203.62,13.67,52.956,0.305,0.2097,0.277
Poa fendleriana,118.6,14.15,135.135,0.395,0.2979,0.256
Poa glauca,148.57,5,77.669,0.386,0.3084,0.216
Poa nemoralis,526.98,22.08,28.311,0.461,0.1326,0.478
Poa pratensis,441.04,17.382,47.782,0.367,0.255,0.21
Poa stuckertii,2356.52,11.394,163.199,0.843,0.28,0.378
Poa supina,192.25,31.217,25.275,0.101,0.4,0.153
Poa trivialis,243.49,26.443,24.337,0.583,0.1799,0.227
Podocarpus latifolius,624.02,11.325,259.478,30,256.41,0.46
Podocarpus nubigenus,40,8.307,202.237,25.92,401.07,0.482
Polygala chamaebuxus,145.08,13.97,84.365,0.121,9.2261,0.211
Polygala polygama,36,18.3,55.556,0.195,1.64,0.211
Polygala vulgaris,67.86,26.239,54.792,0.121,1.7903,0.227
Polygonatum multiflorum,1607.46,30,22.81,0.423,23.2189,0.127
Polygonatum odoratum,2141.55,29.748,31.246,0.261,25.9413,0.18
Polygonatum verticillatum,1003,34.45,23.68,0.453,35.7879,0.127
Polygonum aviculare,338.25,31.426,38.011,0.283,1.3133,0.375
Polygonum douglasii,50,19.35,83.333,0.12,1.3454,0.388
Polygonum rurivagum,32,39.473,41.26,0.3,2.0746,0.212
Polylepis australis,520.61,18.932,115.775,3.412,5,0.925
Pongamia pinnata,4265.45,27.9,60.423,15,1629.8913,0.591
Pontederia cordata,7300,14,89.206,0.985,90.57,0.118
Populus alba,2226,21.453,74.617,27.371,0.12,0.451
Populus balsamifera,2774,17.566,72.756,18.337,1.0156,0.383
Populus deltoides,8400,21.927,86.378,33.118,0.9918,0.423
Populus grandidentata,4813.78,23.758,52.381,16.209,0.1369,0.43
Populus nigra,2294.32,20.765,81.466,24.785,0.6775,0.415
Populus tremula,2265.01,26.063,70.525,18.252,0.1113,0.461
Populus tremula var. davidiana,1381.67,21.21,65.993,16.719,0.0928,0.4
Populus tremuloides,2066.58,20.804,69.52,16.707,0.117,0.382
Portulaca oleracea,47.55,19.29,63.751,0.104,0.1418,0.148
Posoqueria latifolia,10901.56,20.667,87.257,13.678,196.48,0.571
